Typ cery,Główny problem,Poboczny problem,Wrażliwa,Wiek,Mycie,Serum na dzień,Krem na dzień,SPF,Serum na noc,Krem na noc,Punktowo,Maseczka,Peeling
Normalna,Widoczne naczynka,Suche skórki,1,22,Żel Tołpa Dermo Face Physio,Q+A - Peptide - Facial Serum - Nawilżająco-Regenerujące Serum do Twarzy z Peptydami,SunewMed+ Vitamin C,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Tołpa Authentic Nawilżona Skóra,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Niedoskonałości,Podrażnienie,1,26,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawilżający Krem do Twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Dermedic Melumin,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,FACEBOOM Seboom peeling kwasowy wygładzający
Sucha,Rozszerzone pory,Brak,0,17,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Revox Just Niacinamide 10%,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,SVR Sebiaclear Creme SPF 50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Tołpa Authentic Nawilżona Skóra,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,Rozszerzone pory,Brak,1,18,FaceBoom Oczyszczająca pianka do mycia twarzy,Revox Just Niacinamide 10%,CeraVe Nawilżający Krem do Twarzy,Floslek SUN CARE Krem-żel anti-spot SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,SVR Sensifine AR,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Tłusta,Podrażnienie,Szara cera,1,20,BANDI Pure Care Morski żel oczyszczający do twarzy,Nacomi Next Level Serum Ceramidy 5%,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawilżające serum do twarzy,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Tłusta,Niedoskonałości,Podrażnienie,1,24,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,Sunewmed Essence+ Aktywator Pod Krem I Oczy,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Tołpa Authentic Nawilżona Skóra,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Normalna,Niedoskonałości,Suche skórki,1,18,FaceBoom Oczyszczająca pianka do mycia twarzy,Revox Just Niacinamide 10%,Tołpa - Authentic - Krem Matowa Skóra,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawilżające serum do twarzy,Dermedic Melumin,Maść z witaminą A,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Mieszana,Widoczne naczynka,Brak,1,23,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Sunewmed Essence+ Aktywator Pod Krem I Oczy,CeraVe Nawilżający Krem do Twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",CeraVe Nawilżający Krem do Twarzy,Maść z witaminą A,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,Nadprodukcja sebum,Brak,0,36,Tołpa Dermo Face Sebio normalizujący żel do mycia twarzy,Hellobody - cararise ,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Tołpa Authentic Nawilżona Skóra,Sudocrem,FACEBOOM rozświetlająco-nawilżająca maseczka w płacie,Brak
Tłusta,Niedoskonałości,Szara cera,1,34,CeraVe Wygładzający Żel do Mycia,The Ordinary - Amino Acids + B5 - Serum Nawilżające z Aminokwasami i Witaminą B5,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",SVR Sebiaclear Hydra,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,brak
Sucha,Podrażnienie,Przebarwienia,0,18,BIELENDA CBD Cannabidiol,Sunewmed Essence+ Aktywator Pod Krem I Oczy,Tołpa - Dermo Face Strefa T - Matujący Krem-Żel Nawilżający,Floslek SUN CARE Krem-żel anti-spot SPF 50,The Ordinary Hyaluronic Acid 2% + B5,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Maść z witaminą A,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Tłusta,Nadprodukcja sebum,Brak,0,18,Żel Tołpa Dermo Face Physio,Revox Just Niacinamide 10%,Bandi - Delicate Care - Kojący Krem Matujący,La Roche-Posay Anthelios XL SPF50+,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,Podrażnienie,Nadprodukcja sebum,0,20,FLUFF Superfood myjący mus do twarzy,Revox Just Niacinamide 10%,Tołpa authentic krem nawilżający,Garnier Ambre Solaire SPF 50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",SVR Hydraliane,Acnederm,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,Brak
Mieszana,Podrażnienie,Suche skórki,1,20,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawilżający Krem do Twarzy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,CeraVe Nawilżający Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,FACEBOOM Seboom peeling kwasowy wygładzający
Sucha,Niedoskonałości,Nadprodukcja sebum,0,21,BIELENDA CBD Cannabidiol,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawilżający Krem do Twarzy,Floslek SUN CARE Krem-żel anti-spot SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Tołpa Authentic Nawilżona Skóra,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Sucha,Rozszerzone pory,Niedoskonałości,0,23,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Revox Just Niacinamide 10%,CeraVe Nawilżający Krem do Twarzy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary Hyaluronic Acid 2% + B5,CeraVe Nawilżający Krem do Twarzy,Pasta Cynkowa,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Tłusta,Widoczne naczynka,Przebarwienia,0,16,BIELENDA CBD Cannabidiol,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,Bielenda Professional SupremeLab Sebio Derm Serum do Twarzy,Bandi - Delicate Care - Kojący Krem Matujący,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Brak
Normalna,Podrażnienie,Suche skórki,1,20,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Revox Just Niacinamide 10%,Bielenda Rose Care Nawilżający krem różany do cery wrażliwej,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,SVR Sensifine AR,Maść z witaminą A,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Mieszana,Nadprodukcja sebum,Brak,0,17,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,Revox Just Niacinamide 10%,SunewMed+ Vitamin C,Revox Just Daily Sun Krem przeciwsłoneczny SPF54,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Tołpa Authentic Nawilżona Skóra,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Niedoskonałości,Podrażnienie,1,23,FaceBoom Oczyszczająca pianka do mycia twarzy,Sunewmed Essence+ Aktywator Pod Krem I Oczy,Bandi - Delicate Care - Kojący Krem Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Tołpa Authentic Nawilżona Skóra,Maść z witaminą A,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Tłusta,Widoczne naczynka,Brak,0,25,Missha - Super Aqua Ultra Hyalron Cleansing Foam,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawilżający Krem do Twarzy,SVR Sebiaclear Creme SPF 50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",SVR Hydraliane,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Nadprodukcja sebum,Suche skórki,1,19,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Nacomi Next Level Serum Ceramidy 5%,Tołpa - Dermo Face Strefa T - Matujący Krem-Żel Nawilżający,Uriage Roseliane SPF30 krem do cery naczynkowej,The Ordinary Hyaluronic Acid 2% + B5,Nanili Professional T-Cream (Aktywny krem naprawczy),Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,FACEBOOM Seboom peeling kwasowy wygładzający
Mieszana,Szara cera,Brak,0,19,Żel Tołpa Dermo Face Physio,Nacomi Next Level Serum Ceramidy 5%,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Przebarwienia,Suche skórki,1,24,Neutrogena Visibly Clear Clear & Defend Facial Wash,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Maść z witaminą A,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,Szara cera,Niedoskonałości,1,18,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Nivea Soft Krem Intensywnie Nawilżający,Revox Just Daily Sun Krem przeciwsłoneczny SPF53,Bielenda Hydra Boost nawilżające serum do twarzy,Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Tłusta,Nadprodukcja sebum,Brak,0,28,Cosrx - Low pH Good Morning Gel Cleanser - Łagodny Żel do Mycia Twarzy,Nacomi Next Lvl ceramidy 5%,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,Revox Just Daily Sun Krem przeciwsłoneczny SPF53,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Miya myBEUTYpeeling Peeling Enzymatyczny
Normalna,Widoczne naczynka,Podrażnienie,1,20,Neutrogena Visibly Clear Clear & Defend Facial Wash,Nacomi Next Level Serum Ceramidy 5%,SunewMed+ Vitamin C,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Szara cera,Podrażnienie,1,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,MIYA Serum z witaminą C na przebarwienia,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Uriage Roseliane SPF30 krem do cery naczynkowej,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Tołpa Authentic Nawilżona Skóra,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Sucha,Niedoskonałości,Przebarwienia,1,20,FLUFF Superfood myjący mus do twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,SunewMed+ Vitamin C,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,Bielenda Hydra Boost nawilżające serum do twarzy,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,Przebarwienia,Brak,0,18,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,MIYA Serum z witaminą C na przebarwienia,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Uriage Roseliane SPF30 krem do cery naczynkowej,Bielenda Professional SupremeLab Sebio Derm Serum do Twarzy,Avene Cleanance Women,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,Widoczne naczynka,Brak,0,18,Żel Tołpa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,La Roche-Posay Anthelios XL SPF50+,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,BIELENDA Blue Matcha krem-żel,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Sucha,Suche skórki,Brak,0,19,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,La Roche-Posay Anthelios XL SPF50+,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Niedoskonałości,Przebarwienia,1,30,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,Nacomi Next Level Serum Ceramidy 5%,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin
Normalna,Niedoskonałości,Przebarwienia,1,20,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Q+A - Peptide - Facial Serum - Nawilżająco-Regenerujące Serum do Twarzy z Peptydami,Tołpa - Authentic - Krem Matowa Skóra,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Naklejki na krostki z Selfie Project,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,FACEBOOM Seboom peeling kwasowy wygładzający
Normalna,Niedoskonałości,Przebarwienia,1,20,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Tołpa - Authentic - Krem Matowa Skóra,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Mieszana,Szara cera,Suche skórki,0,27,Tołpa Dermo Face Sebio normalizujący żel do mycia twarzy,MIYA Serum z witaminą C na przebarwienia,CeraVe Nawilżający Krem do Twarzy,Uriage Roseliane SPF30 krem do cery naczynkowej,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Miya myBEUTYpeeling Peeling Enzymatyczny
Tłusta,Niedoskonałości,Podrażnienie,0,21,Cosrx - Low pH Good Morning Gel Cleanser - Łagodny Żel do Mycia Twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,HELLO BODY Coco Dream Regenerujące serum,Nanili Professional T-Cream (Aktywny krem naprawczy),Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Brak 
Normalna,Nadprodukcja sebum,Brak,1,29,Żel Tołpa Dermo Face Physio,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,CeraVe Nawilżający Krem do Twarzy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,SVR Sensifine AR,Pharmaceris T Sebo-Almond Peel krem z 10% kwasem migdałowym,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,Miya myBEUTYpeeling Peeling Enzymatyczny
Normalna,Nadprodukcja sebum,Brak,0,19,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,Nacomi Next Level Serum Ceramidy 5%,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,Brak
Tłusta,Podrażnienie,Przebarwienia,0,19,La Roche Posay Effaclar żel oczyszczający,Q+A - Peptide - Facial Serum - Nawilżająco-Regenerujące Serum do Twarzy z Peptydami,Tołpa - Authentic - Krem Matowa Skóra,Uriage Roseliane SPF30 krem do cery naczynkowej,The Ordinary Hyaluronic Acid 2% + B5,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,Szara cera,Niedoskonałości,1,23,Żel Tołpa Dermo Face Physio,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Tołpa Authentic Nawilżona Skóra,Pasta Cynkowa,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Tłusta,Niedoskonałości,Brak,1,24,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Apis - Hyaluron 4D + Orchistem TM - Koncentrat Nawilżający,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Revox Just Daily Sun Krem przeciwsłoneczny SPF53,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,SVR Sebiaclear Hydra,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,FACEBOOM Seboom peeling kwasowy wygładzający
Mieszana,Podrażnienie,Nadprodukcja sebum,0,19,Tołpa Dermo Face Sebio normalizujący żel do mycia twarzy,Revox Just Niacinamide 10%,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,Uriage Roseliane SPF30 krem do cery naczynkowej,Bielenda Hydra Boost nawilżające serum do twarzy,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,Miya myBEUTYpeeling Peeling Enzymatyczny
